text,scene
"Paris, Sara. Fashion Week. Don't blow the chance of a lifetime.",100
What's wrong?,101
My design professor just kissed me.,101
Are you alright?,101
"Yeah, it just really creeped me out. And I think the asshole's married.",101
Professor Roberts?,102
That's right.,102
I'm glad I caught you.,102
"Actually, I was just...",102
You're not one of my students.,103
Not yet. That's why I'm here.,103
I'm failing Intro Pysch.,103
And why is that?,103
"Because I'm bored. I thought it would be all about Freud, and deep dark secrets. But it's brain chemistry. Synapses. I can't stay awake in class.",103
I'm sorry to hear that. But I'm not sure what I can do to help.,103
"Tomorrow's the last day to drop a course without penalty. Unless I can add another one in its place, I'll fall way behind in credits. Daddy won't take that very well. He might even pull the plug. Which means... I'm pretty much at your mercy, Professor.",103
"Look, I've always made it a policy not to accept any students this late in the term.",103
Do I look like just any student to you?,103
Your wife is very pretty.,103
Ex-wife .,103
A few things I'd need to know.,103
Ask me anything.,103
Do you have any design experience?,103
None.,103
What do you know about clothes?,103
Only one thing.,103
And what's that?,103
I definitely look better out of them than in them.,103
I think we might be able to work something out.,103
Great. Just tell me and I'll do anything.,103
Kiss me.,103
"Ow! You're hurting me! Professor, stop!...",103
"Birthday gift. You should get one, they're great.",103
"Great. Just tell me and I'll do anything. Kiss me. I'll take it from there. Owl You're hurting me! Professor, stop!...",103
You bitch tease!,103
"Oh, I'm not teasing.",103
"Do you see enough danger in me now, Professor? Did I go to a dark enough place for you?",103
What? How did?... Who are you?,103
She trusted you.,103
Please don't do this. Twenty years. Everything I worked for. I'll pay for that tape.,103
Yes you will.,103
Anything wrong?,104
What?,104
Are you ok?,104
"Yeah, sure.",104
Welcome. I'm Professor Jacobs. I'll be taking over the class for the rest of the semester.,107
What happened?,107
Remember what I told you about Professor Roberts?,108
Yeah?,108
He's gone.,108
What do you mean?,108
"Well, they're calling it a leave of absence. But what I heard... someone sent the dean an anonymous recording of him hitting on another student.",108
Oh My God.,108
I know.,108
That's called Karma.,108
I've made a decision. You ready?,110
Lemme hear it.,110
I'm gonna quit the band.,110
No. Really? Why?,110
It's a waste of time-and we suck.,110
Why would you say that?,110
"Well, let me think about this. The only places we can get booked is at my own frat house and at my girlfriend's coffee shop.",110
You're right. You guys do suck. A beat.,110
Hold it. Did you just say girlfriend?,110
You heard me.,110
So you think it'll be fun to stay here during Thanksgiving?,110
"Dinner at the frat, the football games. Don't forget the always awkward, homoerotic humor.",110
Sounds like a blast.,110
Oh. For sure.,110
Oh my God. What happened?,112
Rebecca. It's okay. You're safe now. Talk to me.,112
I was looking for Cuddles. A man... pulled me into an alley. He tried...,112
It's okay. It's okay. Shhh.,112
I got away.,112
You're alright now.,112
"It's not deep, thank God. But you should see a doctor.",113
No.,113
"Rebecca, you need to. And then the police.",113
"Rebecca pulls back on her bed, ruining the gauze job.",113
I don't want to. I can't.,113
"You're calling them, or I am. There's a psycho walking around this campus.",113
Please. I didn't see him.,113
"Okay, okay. I won't call. Just let me help you.",113
"Sorry about not staying. But, Rebecca...",114
I get it. I'm going to make out with my pillow and pretend it's you.,114
Just say you'll miss me.,114
I'll miss you.,114
I haven't heard from Jason in weeks. It's weird how he just stopped calling.,115
"It's what you wanted, right?",115
Yeah. Yeah it is.,115
This is your home?,117
It's my parents house. It was never a home.,117
We didn't think you would make it.,118
Her mother sees the bruises on her face.,118
What happened?,118
Nothing.,118
Nothing? This isn't nothing.,118
Leave it alone.,118
Hello. And you are?,118
I'm Sara.,118
Sara's my roommate.,118
I'm Jeff.,118
"It's so great to meet you, Sara. I'm Alison.",118
"Come on, let me show you my room.",118
You didn't tell them we were coming?,119
They didn't need to know.,119
These are interesting.,119
"Yeah, some of my high school work. I haven't gotten around to takin them down.",119
Rebecca's a pretty great artist.,120
"Yeah, we think Rebecca is so talented.",120
"She's an awesome roommate, too.",120
That's nice to hear and I'm sure she likes you because she never brings anyone home before.,120
Dad!,120
What? As a parent you worry. You protect your daughter all her life and then she goes off to college and she's on her own. I'm just relieved she got a good roommate.,120
"Sara, I'll make up a room for you",120
She'll stay in my room.,120
We can share the bed if you want.,121
Sure.,121
Thanks for coming.,121
"Next Thanksgiving, you can run interference with my family.",121
Done.,121
Becs. You scared me.,122
How're you doing?,125
Fine. My grades are good.,125
That's not what I meant.,125
I'm making friends.,125
"Rebecca, look at me for a second.",125
Your mother and I are very fond of you.,125
I know.,125
"I just wanted to make sure. Good night, I'm heading back to bed.",125
Hi Sara.,126
Hi. Rebecca's going to show me some of her high school hangouts.,126
Wonderful.,126
Rebecca seems to be doing well.,126
"Uhhh, yeah. I think she is.",126
Is she taking her medication?,126
Medication?,126
Hey sweetheart.,126
Ready?,126
"Have a great time, you two.",126
Is everything okay?,127
Yeah. It's just...,127
Nice to see where you come from.,127
Come on.,127
Thanks.,128
I used to come here like every day after school.,128
You know them?,128
They went to my high school.,128
Friends?,128
Let's leave.,128
"Hello, Maria.",128
Hello.,128
"Oh, I wanted to introduce you to Sara. My roommate.",128
Hi.,128
"Well, we better go.",128
Rebecca.,128
We were never friends.,128
"Come on, let's go.",128
I guess college is a fresh start for both of us.,129
Irene's back in town.,129
Good run?,133
Great. You wanna go get dinner?,133
I'm going to the art studio.,133
Oh. Okay. Catch you later then.,133
"Don't wait up, Sara... I feel inspired.",133
Forgot my pad.,133
Your door was open.,135
Oh my God.,135
Sorry.,135
What are those?,135
That's what I intend to find out.,135
APD   anti-social personality disorder. Also known as sociopathy.,137
Jesus. I thought she was just weird.,137
It says lithium can control the condition. Maybe these are refills. Maybe she's been taking it all along.,137
Certainly doesn't seem like she's been taking them.,137
I think it's time I moved in with Irene.,137
"I'm sorry to stare, but you are so beautiful.",139
Thanks. So are you. Great lips. What kind is it?,139
It's cinnamon. Caffeinated. A girl never knows how late she's gonna party.,139
Can I try it?,139
You're right... cinnamon.,139
"Why don't we get out of here. I'd invite you to my place, but I have a roommate.",139
"As luck would have it, I'm only two blocks away and...no roommate.",139
What are we waiting for?,139
Shit.,140
Hey!,146
Hey yourself. Where were you all night?,146
"Oh, I got inspired. I just lost track of time.",146
I want a tattoo. Will you come with me?,146
Uhhh...,146
Please. It would mean a lot to me. I won't be able to do it without you.,146
Um... sure. Okay.,146
"You can't rush this, Rebecca. We can always come back.",147
I know what I want.,147
Okay. I'm out here if you need me.,147
Let's see it.,148
Think of me as your sister.,148
If you want... you can call me Emily.,148
What's the matter?,148
This is all you're taking?,149
I'll get the rest of my things when Irene comes back to town.,149
Where's your necklace?,149
I can't find it. It's okay.,149
Sara...,149
I'm not going back up there.,149
Wait here. I'll go look for it.,149
Have you seen Sara's necklace?,151
What did I do?,151
She just needs to move on.,151
With you?,151
"If you do find it, can you let me know?",151
You should call someone. The dean's office. Or at least your R.A.,152
"And tell them what? What has she really done to me? No one can do anything. It's the weirdest thing, Stephen. The girl's own parents are afraid of her.",152
"Well, she sure scared the shit out of me.",152
Are these dirty or clean?,152
Somewhere in between.,152
Seriously. Is it a game to be as loud as you possibly can?,159
How many walls can you possibly bump into!?,159
"Hey, I'm going to hit the library.",160
I can walk you there.,160
"No, it's okay.",160
Party starts at ten. Really cool band...,160
I hear the drummer's really hot.,160
"He may be, but I'm sleeping with his girlfriend...",160
"Sara. I'm actually... I'm in front of your dorm. I just flew in. I'm at the Roosevelt Hotel, room 210. Call me, okay?",161
Help me find the keg?,171
"Sure, I have to go look for my girlfriend anyway.",171
Shhhh.,173
Sara? You got my voicemail.,173
Mm-hmmm.,173
"Oh, man, Sara. Oh, that feels good.",173
Turn over.,173
Close your eyes.,173
"I love you, Sara.",173
But she doesn't love you.,173
You hurt her.,173
We're about to close.,174
"Hi Stephen, it's me. I'm stopping by Irene's, come on by. I want you guys to meet ...it's on 524 South Grand, Apt. 708. Love you.",176
All hands on deck   the keg's still alive.,176
Irene?,179
Irene?,180
Irene.,180
Some role model she turned out to be. Couldn't even take care of herself.,180
Rebecca!,180
Sit down and shut up.,180
Listen to me. All I ever wanted was to be your friend.,180
"Rebecca, you are my friend.",180
No. Shut up. We're not friends. We're here because you betrayed me.,180
"Rebecca, I'm sorry",180
Stop it. Stop saying things you don't mean. I protected you. From that whore Tracy and that nasty little kitten... and That scumbag of a professor... Even that loser ex-boyfriend of yours.,180
What're you talking about? What'd you do to them? What'd you do to Jason?,180
I got rid of them all. And how do you repay me? By leaving me.,180
"Rebecca, please forgive me.",180
"Now we can start all over again. Let's make things the way they were, Sara. That first day. Just the two of us.",180
Rebecca...,180
After all... you can only have one best friend.,180
No! Don't!,180
Lay still bitch.,180
Please. Don't do this...,180
Stop! I mean it.,180
Shh... I'm so sorry.,180
Don't do this Sara!,180
"Don't make me hurt you, Sara. I just want to be your friend.",182
My phone. My phone.,183
Shit!,183
The window! There's a fire escape. You can reach it.,183
"I know you're scared, Sara. But I promise, everything is gonna be okay.",188
"Sorry, Irene. But she's my friend, not yours.",188
Ohgodohgodohgod.,189
Stephen! Help!,190
Hurry!!,190
Okay I've got you. Everything is gonna be okay!,191
Stephen.,191
You won't do it. We're fr,191
Friends help each other. They take care of each other.,191
Rebecca. We were never friends.,191
Sara.,191
Stephen. Hold on.,191
Welcome back.,193
Hey. How are you feeling?,193
Better now. You being here's gonna help.,193
How's moving in going?,193
Just got here.,193
Well let me give you some time to get settled in.,193
"Actually, I need you right here, right now.",193
Okay.,193
This isn't exactly what I had in mind.,194
Now I can get settled in.,194
I'll be back to pick you up for dinner. You gonna be ready?,194
Absolutely.,194
