text,scene
You didn't think we'd make it.,68
No.,68
"Listen, there's things I can take and a couple things I can't and one of them I can't take, is when my older brother     who is everything I want to be, starts losing faith in things.  I saw your eyes last night. I don't want to ever see your eyes like that again, okay?  I'm serious.",68
Okay.,68
He's been like that for awhile.  We need to get him some medicine.,68
Have they said anything about our area?,68
"Philadelphia and its outlying counties are cleared, but who knows for sure?",68
He's not strong enough to fight off another attack.,68
"I know. We need to be sure, before we open that door Graham.",68
That's good enough for me.,68
Me too.,68
Get the syringe as well.  We might need to give him an epinephrine shot.,70
People are dancing.,71
You want to see it?,71
I'll bring the TV in here.,71
"Today there are no countries, and no races, and no differences   we are all apart of the same",72
He's reading my,73
What do you know?,74
There was an accident.  Drunk driving.  They weren't sure.,74
He wasn't drinking.  Ray fell asleep at the wheel.,74
Is he okay?,74
Yes... That's the first thing Colleen asked too.,74
She's talking... Which ambulance is she in?,74
She's not in an ambulance Father.,74
Why not?,74
"See Father, Ray's truck swerved off the road and ah... Hit Colleen and then a tree.  She was pinned between the two.",74
Pinned?  What does that mean?,74
The truck... the truck has severed most of her lower half.,74
What did you say?,74
"She won't be saved.  At this point she's alive, because the truck is holding her together.  She doesn't feel much, and she's talking almost like normal.  We didn't pull the truck out, cause we wanted you to come down here to be with her, as long as she's awake.  That won't be very long. Father, you understand what I've told you?",74
Edgar. Is this the last time I'm going to talk to my wife?,74
Yes it is.,74
Hi sweetie.,75
Hi baby.,75
I was just taking a walk before dinner.,75
You love walks.,75
I guess it was meant to be.,75
Does it hurt?,75
I don't feel much.,75
Good.,75
... Tell Morgan to play games   it's okay to be silly.,75
... I will.,75
... Tell Bo to listen to her brother.  He'll always take care of her.,75
... I will.,75
... Tell Graham,75
I'm here.,75
Tell him... See.  Tell him to see.,75
And tell Merrill to swing away.,75
What? Colleen?... Colleen?,75
"Swing away, Merrill.",76
Merrill.,76
Swing away.,76
His lungs were closed. His lungs were closed.  No poison got in... No poison got in.,80
His lungs were closed.,80
Don't touch him.,80
Graham.,80
Daddy.,80
Don't touch him.,80
Graham.,80
Don't.,80
Dad.,80
Did someone save me?,80
Yeah baby.  I think someone did.,80
