text,scene
"The FOB is here, at the airport... That's miles to cover with those kids... And those bombs are gonna drop in a little more than an hour. We've got to move fast.",47
"We have no radio contact, nothing to let us know the best route to take... And a bus is a big target.",47
"I made the call, Sergeant. It's my responsibility.",47
"Harris, Stavrou, lieutenant needs recon on a.bus. It was abandoned two blocks south off 11th...",47
"If it runs, get it back here.",47
Can you hotwire a bus?,47
"He's from Jersey, sergeant.",47
"Stavrou, Harris...",48
.you're clear down 11th Street.,49
"Every day a holiday, buddy...",49
.every meal a feast.,49
How's it going?,51
"Well, Lieutenant, I'm a medic, Dr. McDermott's a vet... We weren't sure who was most qualified to cut this thing open.",51
Look. It's been surgically modified...,51
Part of its arm has been amputated to fit this weapon.,51
Talk about commitment to cause.,51
What is that thing?,51
"He's from Nigeria, Lieutenant. Not a different solar system.",51
"Thank you, private.",51
"Whoa, that stinks!",51
"I'm gonna puke. Swear to God, I'm gonna puke!",51
"Whatever you do, do it quietly, Imlay.",51
"Hey, Stavs...",52
Relax. First thing I wired was a school bus. Trying to impress this Betty. She had a huge rack...,52
Enemy scout. Move your ass.,52
Don't rush genius.,52
Shit. You seeing what I'm seeing?,53
"Harris. Movement, 1500 meters up 11th.",53
What the hell was that?!,53
Looks like it's receiving a signal...,54
This thing's still alive!,54
Not so hard to kill when you know where to aim.,54
Lieutenant. There's a breach.,54
They in the building?,55
"No clue, Sergeant. An exterior door was broken open.",55
Lieutenant. Maybe we should gather the civilians in the gym.,55
"Good idea, Sergeant.",55
"Harris, hostiles advancing right at you. Approximately two hundred meters and closing...",56
Done!,56
"We're in it together, Sergeant.",57
"C'mon, Mottola. Get that bus here!",57
Where the hell is that bus?!,57
Get this thing started.,58
"Hey, why didn't I think a' that?",58
We're out of time!,59
Go! Get 'em out!,59
Jesus Christ. Those alien ships took the whole line out.,59
We've got forty minutes 'til they level this area.,59
Get us to the Forward Operating Base. Fast.,59
Where the hell are all our jets?,59
Why the hell'd the lieutenant wanna take a bus? We're sittin' ducks.,61
"The call's been made, private. You so eager to decide the fate of all these people?",61
Didn't think so.,61
"Everybody get down, weapons inside the bus. Make no noise.",61
"All stations this net, urgent traffic. Multiple enemy aircraft moving east...",61
It's coming back...!,61
Kill that radio!,61
"They're tracking our signals! All radios, cell phones  keep everything off!",61
It's still coming... It's searching...,61
"Hi. Could I have your, uh, hair thing?",61
My... pony holder?,61
"Anything happens, Lieutenant, get the SAWS up front and take off with these kids.",61
Sergeant...,61
"It's gonna be okay, it's gonna be okay, it's all gonna be okay.",65
"That ship was an unmanned drone, lieutenant. And that alien we cut open had something in it receiving signals... They must have one helluva command and control center.",69
"That was some real John Wayne shit, Sergeant.",69
"Don't do it again. We work as a team, Sergeant. We clear?",69
"We're clear, Lieutenant.",69
Who's John Wayne?,69
"Take the freeway, Corporal. Cuts half the distance off our drive.",69
"Sir. We get on that freeway, we'll be exposed...",69
It doesn't seem like we're much safer out here. We've got two shitty options  I'm choosing the one that gets us there fastest. We don't want to be in this area when the bombs start to fall.,69
"Jesus... Double time, Corporal.",71
"The bus barrels forward, careening BETWEEN CARS, knocking some out of the way.",71
Take the next exit. Head south. We're two clicks from the FOB.,71
"Your head, Sergeant. You're bleeding.",71
"Bet when you woke up this morning, you didn't think your day would end up like this.",71
That's a pretty safe bet.,71
"Hostiles. Back up. Now, go!",71
"Guess you were right, Sergeant.",71
Incoming! Down! Down! Down!,71
"Let's dismount, set up a perimeter, get the civilians down to the street.",71
"Stavrou, get down that ramp, secure the street! Kerns, Adukwu, help get the civilians off the freeway.",71
"Harris, Imlay, give us overwatch up on the roof. The rest of you push out 20 meters, set up a perimeter.",71
"And don't forget, aim chest, right!",71
"Stay here with the civilians. As soon as Stavrou gives the sign, get them down to the street!",71
Are we gonna die?,71
"Course not, kid, we're the good guys.",71
"I got about three dozen hostiles, twelve o'clock. 300 meters now. Coming fast.",72
Prepare to repel. Fix bayonets! This might get up-close and personal!,73
Cpl. Harris!,73
Sir!,73
Being vastly outnumbered provides a marine rifleman with what?,73
"A target rich environment, sir!",73
Marines. We stand here. Let these bastards know who they're fucking with.,73
2/5!,73
"Okay, it's clear. We're gonna go.",75
It's okay. I'll be right behind you.,75
"It's gonna be scary but we can do it, okay?",75
Come on!! Come on!! Get some!,75
"It's okay, son. I got you.",75
What do I need to know?,75
"It's set to fire in three round bursts. We're low, so don't waste your shots.",75
Just sight down the barrel...?,75
And give 'em hell.,75
Keep fighting!,75
"Shit, Lieutenant, we're gonna be overrun !",76
Gimme two of your smoke cannisters!,76
Take someone to cover you!.,76
Kerns! Come on!,76
"Me, Sergeant?",76
"I'm not worried about fightin' next to you, Kerns. Now let's go.",76
Get ready to move on my word.,76
Now!,76
Again! Ready?!,76
Ready!,76
"Damn, Sergeant sure as shit's ninja. He just gave us a kill zone, didn't he, Corporal?",77
"Soon as they come through, blow 'em back to hell!",77
"Pull the men back... Pull 'em all back now, Sergeant. I'm gonna stay and cover.",78
Lieutenant. We gotta get you outta here. No way we're leavin' you...,78
I said I got it...,78
I'm not leaving you here to die.,78
"That's not your call, Sergeant. Now get your men outta here...",78
"We're pulling back. Head to the lower street, now! NOW!",78
What about the lieutenant?,78
"Keep movin', corporal! Go!",78
"This is Lieutenant Bennie Martinez', U.S. Marine Corps!",79
"1st Platoon, 2nd Battalion, 5th Marines!",79
Package Mr. Rincon for transport. We've got to move...,80
Sergeant. Did you just leave Lt. Martinez back there?,80
Lt. Martinez stayed behind. He knew he was dying...,80
So you left him? Is that how it is with you?,80
"He sacrificed himself to save our asses. Now you get your head straight, Corporal. This is my unit now.",80
Let's move. We need shelter... Those bombs are gonna drop!,80
Tighten this place down. See if we can establish communications. Hard line only! Nothing wireless.,82
"Listen, we're out of the bomb zone... But when they fall, we will definitely be rocked. Make sure the kids are prepared for that.",82
It'll be okay. We'll get your dad fixed up.,82
"Listen to me, son. I'm not going to make it. But you will.",82
I don't want to go without you.,82
I know. But you have to. Now wait with Michele a minute. Let me talk to the sergeant.,82
"Mr. Rincon, we can take you and...",82
