text,scene
In this place of Holy Orders You are brought to God's domain May the sisters grant you shelter May their prayers ease your pain.,69
We'll give thanks for what is granted What the sisters may ordain Here we pray for new beginnings - Here our lives can start again.,69
Nine years later,70
"Paris, 1832.",70
Look down and see the beggars at your feet! Look down and show some mercy if you can! Look down and see the sweepings of the street!,71
"Look down, look down, Upon your fellow man!",71
"`Ow do you do? My name's Gavroche! These are my people, here's my patch. Not much to look at - nothing posh! Nothing that you'd call up to scratch. This is my school, my high society! Here in the slums of St Michel. We live on crumbs of humble piety Tough on the teeth - but what the hell! Think you're poor? Think you're free? Follow me! Follow me!",71
"Look down and show some mercy if you can! Look down, look down, upon your fellow man!",71
"There was a time we killed the King We tried to change the world too fast. Now we have got another King, He is no better than the last. This is the land that fought for liberty - Now when we fight we fight for bread! Here is the thing about equality - Everyone's equal when they're dead. Take your place!",71
Take your chance! Vive la France! Vive la France!,71
"Look down and show some mercy if you can! Look down, look down, upon your fellow man!",72
When's it gonna end?,72
When we gonna live?,72
Something's gotta happen now!,72
Something's gotta give!,72
"It'll come, it'll come, it'll come... It'll come, it'll come, it'll come...",72
Where are the leaders of the land? Where are the swells who run this show?,72
"Only one man, General Lamarque Speaks for the people here below!",72
"Lamarque is ill and fading fast - Won't last a week out, so they say.",72
"With all the anger in the land, How long before the Judgement Day?",72
Before we cut the fat ones down to size?,72
Before the barricades arise?,72
"Look down, look down, don't look us in the eye! Look down, look down, stay here and you die!",72
Tomorrow we will return!,72
Tell everyone you know,72
We will show them!,72
Lamarque is the only leader on our side!,72
We have a right to pray for Lamarque!,72
"We need more people, then the police will not dare ride against us!",72
Vive le General Lamarque!,72
Do you have any idea of the shame you bring on your family! You're behaving like a child.,72
Hey there Monsieur what's new with you? Haven't seen much of you of late. Planning no doubt to change the world? Plotting to overthrow the state? Still living here in this old sewer Might as well doss down in a ditch You still pretending to be poor Everyone knows your Grandpa's rich,73
How did you...?,73
There's lots of things I know,73
Won't take a franc that I've not earned All of those bridges have been burned.,73
I like the way you talk Monsieur!,73
I like the way you always tease.,73
Little he knows - Little he sees.,73
"Everyone here, you know your place - Brujon, Babet, Clacquesous - You, Montparnasse, watch for the law - With Eponine - take care.   You turn on the tears!   No mistakes, my dears!",74
"Please, M'sieur, come this way. Here's a child that ain't eaten today. Save a life, spare a sou! God rewards all the good that you do.",74
Wait a bit! Know that face! Ain't the world a remarkable place!,74
Men like me don't forget - You're the bastard who borrowed Cosette!,74
"What is this? Are you mad? No, Monsieur, you don't know what you say!",74
You know me! I know you! And you'll pay what I'm due.,74
It's the police! Disappear! Run for it! It's Javert!,74
"Another brawl in the square! Another stink in the air! Was there a witness to this? Well, let him speak to Javert!",74
"Monsieur, these streets are not safe. But let these vermin beware, We'll see that justice is done!",74
"Look upon this fine collection Crawled from underneath a stone. This swarm of worms and maggots Could have picked you to the bone! I know this man over here, I know his name and his trade. And on your witness, m'sieur, I'll see him suitably paid.",74
But where's the gentlemen gone? And why on earth did he run?,74
You will have a job to find him! He's not all he seems to be - And that girl he trails behind him She's the child he stole from me!,74
Could it be he's that old jailbird That the tide now washes in? Heard my name and started running... All the omens point to him.,74
"And the girl who stood beside him, When I turned they both had gone. Could he be the man I've hunted? Could it be he's Jean Valjean?",74
"In the absence of a victim, Dear Inspector, may I go? And remember when you've nicked him It was me what told you so.",74
Let the old man keep on running I will run him off his feet! Everyone about your business!,74
Clear this garbage off the street!,74
That inspector thinks he's something But it's me who runs this town! And my theatre never closes And the curtain's never down! Trust Gavroche! Have no fear! You can always find me here!,74
Cosette! Now I remember... Cosette! How can it be? We were children together. Look what's become of me.,74
Eponine! Who was that girl?,74
That bourgeois two-a-penny thing!,74
